name,lat,lon,district,addr,avg_comp_rating,dist_metro,stops_cnt,c300,c1k,pop_dens,income,office_dens,avg_rent,avail_space
Родник,55.605461,37.3541,UZAO,,,3356.5823479160485,11,4,7,10500,98000,0,29000,165
Венеция,55.6143912,37.472788,UZAO,,,715.9627899689623,9,0,4,10500,98000,0,29000,165
,55.610536,37.4645002,UZAO,,,1389.6646493385895,7,0,3,10500,98000,0,29000,165
Вкусно — и точка,55.6191327,37.5070793,UZAO,,,50.66184798027547,19,22,27,10500,98000,0,29000,165
,55.6147365,37.5144143,UZAO,,,469.41141652450113,4,0,26,10500,98000,0,29000,165
Золотой Фазан,55.5976559,37.3563881,UZAO,,,3190.1187278804564,11,0,11,10500,98000,0,29000,165
Кофе Хауз,55.6182552,37.5070676,UZAO,,,92.40950663732369,19,22,27,10500,98000,0,29000,165
Вкусно — и точка,55.6195632,37.5089847,UZAO,,,91.63427043859322,17,21,27,10500,98000,0,29000,165
Stars Coffee,55.6036933,37.4906682,UZAO,,,816.6369463169071,9,21,30,10500,98000,0,29000,165
,55.5299965,37.4454334,UZAO,,,2700.0848071879213,6,1,5,10500,98000,0,29000,165
Тройка,55.6259086,37.4839078,UZAO,,,121.54389057137095,8,0,8,10500,98000,0,29000,165
,55.5718301,37.3567086,UZAO,,,4501.928840712295,5,0,0,10500,98000,0,29000,165
БониМария,55.6216961,37.4808304,UZAO,,,294.66820962749875,10,1,7,10500,98000,0,29000,165
Вкусно — и точка,55.6035292,37.4917677,UZAO,,,863.7170759092536,9,21,30,10500,98000,0,29000,165
Артико,55.5965718,37.5125321,UZAO,,,1597.1731226764393,2,0,5,10500,98000,0,29000,165
Якитория,55.5915724,37.3660684,UZAO,,,2758.6892676194466,9,1,8,10500,98000,0,29000,165
Maximus,55.6316931,37.4826248,UZAO,,,620.3751390889513,13,1,7,10500,98000,0,29000,165
Таверна на Дубровке,55.5663879,37.4453719,UZAO,,,902.5399798315359,7,2,8,10500,98000,0,29000,165
Чё Хотэли Пили-Ели,55.5702462,37.449573,UZAO,,,597.7919816550179,4,2,6,10500,98000,0,29000,165
Пахра,55.626162,37.4732024,UZAO,,,789.0964110930055,2,1,8,10500,98000,0,29000,165
,55.4964783,37.5024949,UZAO,,,4653.9788027826335,5,0,3,10500,98000,0,29000,165
Кафе,55.5316699,37.4469201,UZAO,,,2556.5901396976406,6,3,5,10500,98000,0,29000,165
Столовая,55.5249677,37.446483,UZAO,,,3253.952628003233,6,1,5,10500,98000,0,29000,165
Южный дворик,55.5233572,37.4487392,UZAO,,,3466.579563183106,8,1,3,10500,98000,0,29000,165
,55.5577566,37.4347968,UZAO,,,548.3380283736454,8,0,5,10500,98000,0,29000,165
Встреча,55.6167344,37.5091198,UZAO,,,73.3825160410166,17,17,26,10500,98000,0,29000,165
У камина,55.6279126,37.4372702,UZAO,,,573.1928313146876,5,0,31,10500,98000,0,29000,165
Му-му,55.6181687,37.5071374,UZAO,,,83.21444549740967,19,22,27,10500,98000,0,29000,165
Флорентини,55.5700354,37.4492973,UZAO,,,610.5015667000096,4,2,5,10500,98000,0,29000,165
cinnabon,55.6034301,37.4915902,UZAO,,,848.4190360561337,9,21,30,10500,98000,0,29000,165
Панда пицца,55.5657438,37.472369,UZAO,,,637.6127171292316,6,1,11,10500,98000,0,29000,165
Rostic's,55.6195952,37.5095014,UZAO,,,114.6282782262878,17,19,27,10500,98000,0,29000,165
Subway,55.6100418,37.4879772,UZAO,,,980.4772135752856,5,0,23,10500,98000,0,29000,165
Rostic's,55.6189954,37.5070492,UZAO,,,65.84301726740274,19,22,27,10500,98000,0,29000,165
Rostic's,55.603656,37.4919083,UZAO,,,878.7292077074576,9,21,30,10500,98000,0,29000,165
Суши Wok,55.5404364,37.4928113,UZAO,,,1259.8602197933276,9,0,10,10500,98000,0,29000,165
Птицы и пчёлы,55.5601571,37.4381307,UZAO,,,875.1011445777667,8,2,8,10500,98000,0,29000,165
Кафе гриль,55.6169229,37.508562,UZAO,,,39.23770972054264,18,20,26,10500,98000,0,29000,165
Теремок,55.6196023,37.5091197,UZAO,,,99.90757075399539,17,20,27,10500,98000,0,29000,165
Хинкальная,55.6300887,37.4740902,UZAO,,,851.042966347593,11,0,5,10500,98000,0,29000,165
SomeMeat,55.5680709,37.4471838,UZAO,,,744.7210956039537,6,3,7,10500,98000,0,29000,165
Якитория,55.5936977,37.3511016,UZAO,,,3590.259195841753,3,2,5,10500,98000,0,29000,165
"Шаурма, тандыр",55.537468,37.5130174,UZAO,,,128.32442676869678,13,3,7,10500,98000,0,29000,165
Бургер Кинг,55.5371813,37.5119834,UZAO,,,199.57991894008347,10,3,6,10500,98000,0,29000,165
Донар Кебаб,55.5683241,37.474942,UZAO,,,715.6650856632973,9,3,16,10500,98000,0,29000,165
Голодный ёж,55.5692811,37.4758015,UZAO,,,670.9382657761153,8,5,16,10500,98000,0,29000,165
