name,latitude,longitude,district,pedestrian_traffic_estimate,metro_passenger_flow,distance_to_metro,public_transport_stops_count,cafes_300m,cafes_1km,average_competitor_rating,population_density,median_income,office_density,average_rent_m2,available_commercial_spaces,rating
Креветка,55.6517026,37.5271538,Moscow,498,79000,10533.460758926793,85,1,26,,5228,122348,16,2400,13,4.3
Чайхана Ош,55.7052212,37.6888836,Moscow,1286,62000,4333.180656098598,85,6,17,,6762,127606,18,1950,2,3.6
Шоколадница,55.789623,37.6786602,Moscow,1055,94000,2117.3973235597223,85,10,19,,6302,91866,25,3500,13,4.1
Com,55.7682803,37.6446178,Moscow,667,94000,1076.3385189834214,85,12,161,,13628,60392,16,2100,5,4.3
Старый дуб,55.6976881,37.7857738,Moscow,1352,62000,10028.102799727825,85,1,7,,7808,61851,10,1700,4,3.5
Шоколадница,55.6866726,37.5729914,Moscow,1417,62000,6354.098325205366,85,4,35,,7710,117390,46,2400,3,4.0
Подъезд,55.6567323,37.5973739,Moscow,407,62000,8623.516996747985,85,0,10,,6245,103740,47,2400,0,4.6
Unknown,55.5984177,37.904424,Moscow,1307,62000,22330.420029600817,85,0,1,,14118,129476,23,1800,14,4.5
Шоколадница,55.760415,37.6144665,Moscow,218,89000,391.6645752724263,85,18,149,,9811,119250,13,3500,8,3.8
Шарманка,55.7404892,37.8593626,Moscow,714,68000,12734.915711619858,85,0,21,,9468,91884,15,2000,4,4.0
Unknown,55.7376936,37.8546333,Moscow,902,68000,12492.194291944468,85,0,11,,13635,119180,43,1800,0,4.1
Сахара,55.580458,37.5767712,Moscow,1279,62000,17160.607718060324,85,0,3,,8920,106868,48,2400,10,4.7
Грабли,55.7413227,37.6287265,Moscow,548,62000,1259.280793790834,85,26,117,,9096,111191,23,1700,0,3.7
True Burgers,55.7464981,37.5609638,Moscow,470,79000,375.46850853037756,85,3,32,,10161,76825,10,2100,2,4.4
Unknown,55.6436251,37.5261032,Moscow,434,79000,11424.287165224992,85,6,24,,9806,64682,23,2000,0,4.6
Зерно,55.7413059,37.4286725,Moscow,962,79000,8538.380605882803,85,2,10,,12760,105136,24,1700,14,3.7
