name,lat,lon,district,address,pedestrian_traffic_estimate,metro_passenger_flow,distance_to_metro,public_transport_stops_count,cafes_300m,cafes_1km,average_competitor_rating,population_density,median_income,office_density,average_rent_m2,available_commercial_spaces
Родник,55.605461,37.3541,ЮЗАО,,5500,,,11,4,7,,10500,98000,0,29000,165
Венеция,55.6143912,37.472788,ЮЗАО,,4500,,,9,0,4,,10500,98000,0,29000,165
,55.610536,37.4645002,ЮЗАО,,3500,,,7,0,3,,10500,98000,0,29000,165
Вкусно — и точка,55.6191327,37.5070793,ЮЗАО,,9500,,,19,22,27,,10500,98000,0,29000,165
,55.6147365,37.5144143,ЮЗАО,,2000,,,4,0,24,,10500,98000,0,29000,165
Золотой Фазан,55.5976559,37.3563881,ЮЗАО,,5500,,,11,0,11,,10500,98000,0,29000,165
Кофе Хауз,55.6182552,37.5070676,ЮЗАО,,9500,,,19,22,27,,10500,98000,0,29000,165
Вкусно — и точка,55.6195632,37.5089847,ЮЗАО,,8500,,,17,21,27,,10500,98000,0,29000,165
Stars Coffee,55.6036933,37.4906682,ЮЗАО,,4500,,,9,21,30,,10500,98000,0,29000,165
,55.5299965,37.4454334,ЮЗАО,,3000,,,6,1,5,,10500,98000,0,29000,165
Тройка,55.6259086,37.4839078,ЮЗАО,,4000,,,8,0,7,,10500,98000,0,29000,165
,55.5718301,37.3567086,ЮЗАО,,2500,,,5,0,0,,10500,98000,0,29000,165
БониМария,55.6216961,37.4808304,ЮЗАО,,5000,,,10,1,7,,10500,98000,0,29000,165
Вкусно — и точка,55.6035292,37.4917677,ЮЗАО,,4500,,,9,21,30,,10500,98000,0,29000,165
Артико,55.5965718,37.5125321,ЮЗАО,,1000,,,2,0,1,,10500,98000,0,29000,165
Якитория,55.5915724,37.3660684,ЮЗАО,,4500,,,9,1,8,,10500,98000,0,29000,165
Maximus,55.6316931,37.4826248,ЮЗАО,,6500,,,13,0,5,,10500,98000,0,29000,165
Таверна на Дубровке,55.5663879,37.4453719,ЮЗАО,,3500,,,7,2,8,,10500,98000,0,29000,165
Чё Хотэли Пили-Ели,55.5702462,37.449573,ЮЗАО,,2000,,,4,2,6,,10500,98000,0,29000,165
Пахра,55.626162,37.4732024,ЮЗАО,,1000,,,2,1,7,,10500,98000,0,29000,165
,55.4964783,37.5024949,ЮЗАО,,2500,,,5,0,1,,10500,98000,0,29000,165
Кафе,55.5316699,37.4469201,ЮЗАО,,3000,,,6,3,5,,10500,98000,0,29000,165
Столовая,55.5249677,37.446483,ЮЗАО,,3000,,,6,1,5,,10500,98000,0,29000,165
